cfgId,reqLevel,reqMoney,itemid1,itemnum1,itemid2,itemnum2,itemid3,itemnum3,resCfgId,,,,
,,,,,,,,,,,,,
装备id,需求强化等级,银两消耗,消耗图纸id,消耗图纸数量,消耗进阶石id,消耗进阶石数量,消耗徽章id,消耗徽章数量,升星后装备id,,,,
10001,20,100,23120,8,23130,4,23074,2,10002,,,,
10002,40,1000,23121,8,23131,8,23075,4,10003,,,,
10003,50,5000,23122,8,23132,16,23076,8,10004,,,,
10004,60,10000,23123,8,23133,32,23077,16,10005,,,,
10005,70,50000,23124,8,23134,64,23078,32,10006,,,,
10006,80,100000,23125,8,23135,128,23079,64,10007,,,,
10007,90,500000,23126,8,23136,256,23080,128,10008,,,,
10009,20,100,23120,8,23130,4,23074,2,10010,,,,
10010,40,1000,23121,8,23131,8,23075,4,10011,,,,
10011,50,5000,23122,8,23132,16,23076,8,10012,,,,
10012,60,10000,23123,8,23133,32,23077,16,10013,,,,
10013,70,50000,23124,8,23134,64,23078,32,10014,,,,
10014,80,100000,23125,8,23135,128,23079,64,10015,,,,
10015,90,500000,23126,8,23136,256,23080,128,10016,,,,
10017,20,100,23120,8,23130,4,23074,2,10018,,,,
10018,40,1000,23121,8,23131,8,23075,4,10019,,,,
10019,50,5000,23122,8,23132,16,23076,8,10020,,,,
10020,60,10000,23123,8,23133,32,23077,16,10021,,,,
10021,70,50000,23124,8,23134,64,23078,32,10022,,,,
10022,80,100000,23125,8,23135,128,23079,64,10023,,,,
10023,90,500000,23126,8,23136,256,23080,128,10024,,,,
10025,20,100,23120,8,23130,4,23074,2,10026,,,,
10026,40,1000,23121,8,23131,8,23075,4,10027,,,,
10027,50,5000,23122,8,23132,16,23076,8,10028,,,,
10028,60,10000,23123,8,23133,32,23077,16,10029,,,,
10029,70,50000,23124,8,23134,64,23078,32,10030,,,,
10030,80,100000,23125,8,23135,128,23079,64,10031,,,,
10031,90,500000,23126,8,23136,256,23080,128,10032,,,,
10033,20,100,23120,8,23130,4,23074,2,10034,,,,
10034,40,1000,23121,8,23131,8,23075,4,10035,,,,
10035,50,5000,23122,8,23132,16,23076,8,10036,,,,
10036,60,10000,23123,8,23133,32,23077,16,10037,,,,
10037,70,50000,23124,8,23134,64,23078,32,10038,,,,
10038,80,100000,23125,8,23135,128,23079,64,10039,,,,
10039,90,500000,23126,8,23136,256,23080,128,10040,,,,
10041,20,100,23120,8,23130,4,23074,2,10042,,,,
10042,40,1000,23121,8,23131,8,23075,4,10043,,,,
10043,50,5000,23122,8,23132,16,23076,8,10044,,,,
10044,60,10000,23123,8,23133,32,23077,16,10045,,,,
10045,70,50000,23124,8,23134,64,23078,32,10046,,,,
10046,80,100000,23125,8,23135,128,23079,64,10047,,,,
10047,90,500000,23126,8,23136,256,23080,128,10048,,,,
10049,20,100,23120,8,23130,4,23074,2,10050,,,,
10050,40,1000,23121,8,23131,8,23075,4,10051,,,,
10051,50,5000,23122,8,23132,16,23076,8,10052,,,,
10052,60,10000,23123,8,23133,32,23077,16,10053,,,,
10053,70,50000,23124,8,23134,64,23078,32,10054,,,,
10054,80,100000,23125,8,23135,128,23079,64,10055,,,,
10055,90,500000,23126,8,23136,256,23080,128,10056,,,,
10057,20,100,23120,8,23130,4,23074,2,10058,,,,
10058,40,1000,23121,8,23131,8,23075,4,10059,,,,
10059,50,5000,23122,8,23132,16,23076,8,10060,,,,
10060,60,10000,23123,8,23133,32,23077,16,10061,,,,
10061,70,50000,23124,8,23134,64,23078,32,10062,,,,
10062,80,100000,23125,8,23135,128,23079,64,10063,,,,
10063,90,500000,23126,8,23136,256,23080,128,10064,,,,
10065,20,100,23120,8,23130,4,23074,2,10066,,,,
10066,40,1000,23121,8,23131,8,23075,4,10067,,,,
10067,50,5000,23122,8,23132,16,23076,8,10068,,,,
10068,60,10000,23123,8,23133,32,23077,16,10069,,,,
10069,70,50000,23124,8,23134,64,23078,32,10070,,,,
10070,80,100000,23125,8,23135,128,23079,64,10071,,,,
10071,90,500000,23126,8,23136,256,23080,128,10072,,,,
10073,20,100,23120,8,23130,4,23074,2,10074,,,,
10074,40,1000,23121,8,23131,8,23075,4,10075,,,,
10075,50,5000,23122,8,23132,16,23076,8,10076,,,,
10076,60,10000,23123,8,23133,32,23077,16,10077,,,,
10077,70,50000,23124,8,23134,64,23078,32,10078,,,,
10078,80,100000,23125,8,23135,128,23079,64,10079,,,,
10079,90,500000,23126,8,23136,256,23080,128,10080,,,,
10081,20,100,23120,8,23130,4,23074,2,10082,,,,
10082,40,1000,23121,8,23131,8,23075,4,10083,,,,
10083,50,5000,23122,8,23132,16,23076,8,10084,,,,
10084,60,10000,23123,8,23133,32,23077,16,10085,,,,
10085,70,50000,23124,8,23134,64,23078,32,10086,,,,
10086,80,100000,23125,8,23135,128,23079,64,10087,,,,
10087,90,500000,23126,8,23136,256,23080,128,10088,,,,
10089,20,100,23120,8,23130,4,23074,2,10090,,,,
10090,40,1000,23121,8,23131,8,23075,4,10091,,,,
10091,50,5000,23122,8,23132,16,23076,8,10092,,,,
10092,60,10000,23123,8,23133,32,23077,16,10093,,,,
10093,70,50000,23124,8,23134,64,23078,32,10094,,,,
10094,80,100000,23125,8,23135,128,23079,64,10095,,,,
10095,90,500000,23126,8,23136,256,23080,128,10096,,,,
10097,20,100,23120,8,23130,4,23074,2,10098,,,,
