id,playerid,cfgid,level,star,hp,def,mdef,atk,matk,hit,dodge,cir_rate,combat,passivesSkill,skillLevel,name
,,,,,,,,,,,,,,,,
id,playerid,cfgid,level,star,hp,def,mdef,atk,matk,hit,dodge,cir_rate,combat,passivesSkill,skillLevel,name
,,30000,1,3,1700,10,3,18,10,55,28,2000,2026,0,1,Ìï²®¹â
,,30000,2,3,1700,21,7,36,21,111,57,2000,2076,0,1,Ìï²®¹â
,,30000,3,3,1700,32,10,54,32,167,86,2000,2125,0,1,Ìï²®¹â
,,30000,4,3,1700,43,14,72,43,223,115,2000,2175,0,1,Ìï²®¹â
,,30000,5,3,1700,54,18,90,54,279,144,2000,2225,0,1,Ìï²®¹â
,,30000,6,3,1700,64,21,108,64,334,172,2000,2272,0,1,Ìï²®¹â
,,30000,7,3,1700,75,25,126,75,390,201,2000,2322,0,1,Ìï²®¹â
,,30000,8,3,1728,86,28,144,86,446,230,2000,2399,0,1,Ìï²®¹â
,,30000,9,3,1944,97,32,162,97,502,259,2000,2665,0,1,Ìï²®¹â
,,30000,10,3,2160,108,36,180,108,558,288,2000,2931,0,1,Ìï²®¹â
,,30000,11,3,2376,118,39,198,118,613,316,2000,3194,0,1,Ìï²®¹â
,,30000,12,3,2592,129,43,216,129,669,345,2000,3459,0,1,Ìï²®¹â
,,30000,13,3,2808,140,46,234,140,725,374,2000,3724,0,1,Ìï²®¹â
,,30000,14,3,3024,151,50,252,151,781,403,2000,3990,0,1,Ìï²®¹â
,,30000,15,3,3240,162,54,270,162,837,432,2000,4256,0,1,Ìï²®¹â
,,30000,16,3,3456,172,57,288,172,892,460,2000,4519,0,1,Ìï²®¹â
,,30000,17,3,3672,183,61,306,183,948,489,2000,4785,0,1,Ìï²®¹â
,,30000,18,3,3888,194,64,324,194,1004,518,2000,5050,0,1,Ìï²®¹â
,,30000,19,3,4104,205,68,342,205,1060,547,2000,5316,0,1,Ìï²®¹â
