num,stage,rewardtype,content,number,lowerlimit,superiorlimit
,,,,,,
序号,阶段,奖励类型,内容,数量,达成下限,达成上限
1,0,1,26210,3,1,1
1,0,1,21003,10,1,1
1,0,1,24021,3,1,1
1,0,1,26209,3,2,2
1,0,1,21003,5,2,2
1,0,1,24021,2,2,2
1,0,1,26208,3,3,3
1,0,1,21002,5,3,3
1,0,1,24021,1,3,3
1,0,1,26207,3,4,20
1,0,1,21001,5,4,20
1,0,1,24020,2,4,20
2,1,1,24021,1,1,1
2,1,1,24022,1,1,1
2,1,1,26209,1,1,1
2,1,1,24020,1,2,2
2,1,1,24008,10,2,2
2,1,1,26208,2,2,2
2,1,1,24019,1,3,3
2,1,1,24008,5,3,3
2,1,1,26207,2,3,3
2,1,1,24004,5,4,10
2,1,1,24008,3,4,10
2,1,1,26206,2,4,10
2,3,1,24021,2,1,1
2,3,1,24022,2,1,1
2,3,1,26209,2,1,1
2,3,1,24020,2,2,2
2,3,1,24008,20,2,2
2,3,1,26208,4,2,2
2,3,1,24019,2,3,3
2,3,1,24008,10,3,3
2,3,1,26207,4,3,3
2,3,1,24004,10,4,10
2,3,1,24008,6,4,10
2,3,1,26206,4,4,10
2,7,1,24021,3,1,1
2,7,1,24022,3,1,1
2,7,1,26209,3,1,1
2,7,1,24020,3,2,2
2,7,1,24008,30,2,2
2,7,1,26208,6,2,2
2,7,1,24019,3,3,3
2,7,1,24008,15,3,3
2,7,1,26207,6,3,3
2,7,1,24004,15,4,10
2,7,1,24008,9,4,10
2,7,1,26206,6,4,10
3,0,1,26208,1,1,1
3,0,1,24019,1,1,1
3,0,1,24022,1,1,1
3,0,1,26209,2,2,2
3,0,1,24020,2,2,2
3,0,1,24022,2,2,2
4,0,1,26206,2,100000,100000
4,0,1,24003,2,100000,100000
4,0,1,24007,2,100000,100000
4,0,1,26207,2,200000,200000
4,0,1,24004,2,200000,200000
4,0,1,24008,2,200000,200000
4,0,1,26208,2,400000,400000
4,0,1,24019,2,400000,400000
4,0,1,24022,2,400000,400000
4,0,1,26209,2,700000,700000
4,0,1,24020,2,700000,700000
4,0,1,24022,4,700000,700000
4,0,1,26210,2,1600000,1600000
4,0,1,24021,2,1600000,1600000
4,0,1,24023,4,1600000,1600000
4,0,1,26210,2,3500000,3500000
4,0,1,24021,4,3500000,3500000
4,0,1,24023,6,3500000,3500000
