level,costMoney
,
技能等级,消耗
1,50
2,125
3,720
4,1820
5,2935
6,4060
7,5190
8,6825
9,8970
10,11115
11,13270
12,15430
13,18095
14,21260
15,24435
16,27610
17,30790
18,34475
19,38660
20,42850
21,47045
22,51245
23,55945
24,61145
25,66355
26,71565
27,76775
28,82490
29,88710
30,94930
31,101155
32,107380
33,114110
34,121340
35,128570
36,135805
37,143045
38,150785
39,159025
40,167270
41,190075
42,198965
43,208370
44,218285
45,228215
46,238160
47,248115
48,258585
49,269570
50,288655
51,299975
52,311320
53,323180
54,335555
55,347955
56,360365
57,372800
58,385750
59,399215
60,427375
61,441365
62,455380
63,469915
64,484980
65,500070
66,515180
67,530320
68,545980
69,562165
70,604035
71,621020
72,638035
73,655585
74,673670
75,691790
76,709945
77,728135
78,746860
79,766115
80,829135
81,849605
82,870125
83,891190
84,912805
85,934470
86,956180
87,977945
88,1000250
89,1023110
90,1119170
91,1143870
92,1168640
93,1193975
94,1219885
95,1245860
96,1271905
97,1298025
98,1324710
99,1351965
100,0
