id,name,type,level,frontmission,needmoney,needitem,needhero,dialogue,objective,npc,completetype,targetid,number,taskreward
,,,,,,,,,,,,,,
id,任务名称,任务类型,所需玩家等级,前置任务,接取需要金钱,接取需要道具,接取需要侠客,任务描述,任务目标,npc,任务完成类型,任务对象ID,任务数目,奖励组
1,初入江湖,1,-1,-1,-1,-1,-1,刚刚醒来的的你还不清楚发生了什么事，不管如何，先打败面前的敌人才是！,通过第1章【天降横祸】,-1,200,10101,1,101
2,初入江湖·贰,1,-1,1,-1,-1,-1,看来你是穿越了，竟然成为了慕容山庄的少主！你梦寐以求成为大侠的机会到了！击败敌人吧！,通过第1章【四处逃窜】,-1,200,10102,1,102
3,初入江湖·叁,1,-1,2,-1,-1,-1,你遇到了第二个伙伴，先不吐槽他的名字，没想到他竟然是独孤求败的弟子！快！击败敌人继续前进吧！,通过第1章【寻找表妹】,-1,200,10103,1,103
4,初入江湖·肆,1,-1,3,-1,-1,-1,打败坏人！拯救妹子！击败黑衣人后，去碧波亭看看吧。,通过第1章【遍寻不着】,-1,200,10104,1,104
5,初入江湖·伍,1,-1,4,-1,-1,-1,看来妹子留下了线索，她一定在这附近，找找看吧。,通过第1章【救出语嫣】,-1,200,10105,1,105
6,初入江湖·陆,1,-1,5,-1,-1,-1,敌人数量太多，速速前往议事厅和高手们汇合才是上策！击退敌人，突围出去！,通过第1章【前去汇合】,-1,200,10106,1,106
7,初入江湖·柒,1,-1,6,-1,-1,-1,议事厅就在眼前！突围进去！,通过第1章【冲破封锁】,-1,200,10107,1,107
8,初入江湖·捌,1,-1,7,-1,-1,-1,一身白衣的独孤求败，似乎是一把蓄藏已久的亮剑，慕容天强大的身手你也看在眼里，一切蓄势待发，击败敌人！,通过第1章【生死别离】,-1,200,10108,1,108
9,初入江湖·玖,1,-1,8,-1,-1,-1,形式越加严峻，后有追兵，前路迷茫，只有全力一搏了！,通过第1章【后有追兵】,-1,200,10109,1,109
10,初入江湖·终,1,-1,9,-1,-1,-1,强敌当前，刻不容缓！杀出去！,通过第1章【离开山庄】,-1,200,10110,1,110
11,初入门派·壹,1,-1,10,-1,-1,-1,独孤老贼负伤，正是欺负他的好时候！咳咳，向师傅证明自己的时候...,通过第2章【交给你了】,-1,200,10201,1,111
12,初入门派·贰,1,-1,11,-1,-1,-1,总有一些作死的熊孩子来送经验，教他做人吧！,通过第2章【四处看看】,-1,200,10202,1,112
13,初入门派·叁,1,-1,12,-1,-1,-1,鬼鬼祟祟的黑衣人，一定有阴谋！抓住他！,通过第2章【鬼祟贼人】,-1,200,10203,1,113
14,危机四伏·肆,1,-1,13,-1,-1,-1,追到竹林，果然有同伙，抓起来调教一番吧！,通过第2章【竹林锄奸】,-1,200,10204,1,114
15,危机四伏·伍,1,-1,14,-1,-1,-1,师傅为了让你在大家面前露一手，连这么损的招都用了，你不上怎么行？,通过第2章【独孤出山】,-1,200,10205,1,115
16,危机四伏·陆,1,-1,15,-1,-1,-1,难道水里有石油？快去瞧瞧($_$),通过第2章【水源污染】,-1,200,10206,1,116
17,危机四伏·柒,1,-1,16,-1,-1,-1,看来凶手还不止一个！顺藤摸瓜，把敌人好好收拾一番！,通过第2章【冰洞解毒】,-1,200,10207,1,117
18,危机四伏·捌,1,-1,17,-1,-1,-1,敌人虽蠢，但是也不能小视愚蠢的敌人，我觉得打完以后不用问都能知道下一个凶手..,通过第2章【狭路相逢】,-1,200,10208,1,118
19,危机四伏·玖,1,-1,18,-1,-1,-1,看这章节名肯定还有一关，没跑了！,通过第2章【深涧解毒】,-1,200,10209,1,119
20,危机四伏·终,1,-1,19,-1,-1,-1,四天王都打败了，离胜利还远吗？,通过第2章【峰顶缉凶】,-1,200,10210,1,120
21,武当风云·壹,1,-1,20,-1,-1,-1,武当派果然够牛，看门小孩都这么牛，别打死他，下手重点！,通过第3章【山门遭拒】,-1,200,10301,1,121
22,武当风云·贰,1,-1,21,-1,-1,-1,难道你的美貌引起了武当派的窥视吗！你真是个罪孽深重的美男（女）子啊！,通过第3章【故意冷落】,-1,200,10302,1,122
23,武当风云·叁,1,-1,22,-1,-1,-1,看来你的实力引起了某长老的重视，让他瞧瞧你的绝世武功吧!,通过第3章【玉虚拿人】,-1,200,10303,1,123
24,武当风云·肆,1,-1,23,-1,-1,-1,看来这长老混的不咋的嘛，区区一个弟子都敢冒犯，教他做人吧！,通过第3章【暗流涌动】,-1,200,10304,1,124
25,武当风云·伍,1,-1,24,-1,-1,-1,看来一直有人在阻挠你们，击败这些虾兵蟹将！,通过第3章【过关斩将】,-1,200,10305,1,125
26,武当风云·陆,1,-1,25,-1,-1,-1,黑衣人的魔爪已经伸到这里来了吗？可能能从他嘴里套出什么？,通过第3章【遭遇偷袭】,-1,200,10306,1,126
27,武当风云·柒,1,-1,26,-1,-1,-1,几个老头对你发出了solo申请，是时候展现你的技术了！,通过第3章【震慑群雄】,-1,200,10307,1,127
28,武当风云·捌,1,-1,27,-1,-1,-1,难道掌门真的已经遇害？你只能跟着长老一起出手了！,通过第3章【掌门何在】,-1,200,10308,1,128
29,武当风云·玖,1,-1,28,-1,-1,-1,这长老嘴很不老实，送他回家！,通过第3章【栽赃陷害】,-1,200,10309,1,129
30,武当风云·终,1,-1,29,-1,-1,-1,看来武当派已经给腐蚀了，连你都看不下去了，击败他！,通过第3章【模棱两可】,-1,200,10310,1,130
31,围困少林·壹,1,30,30,-1,-1,-1,清凉寺一片狼藉，邪教突袭而来，到底怎么回事？,通过第4章【一片狼藉】,-1,200,10401,1,131
32,围困少林·贰,1,31,31,-1,-1,-1,少林寺被围攻？抓紧时间上山去看看！,通过第4章【大敌当前】,-1,200,10402,1,132
33,围困少林·叁,1,32,32,-1,-1,-1,连看门的都换人了，里面必须有阴谋！,通过第4章【山门遇阻】,-1,200,10403,1,133
34,围困少林·肆,1,33,33,-1,-1,-1,邪教妖言惑众，是你出手救出方丈的时候了,通过第4章【勇救方丈】,-1,200,10404,1,134
35,围困少林·伍,1,34,34,-1,-1,-1,有实力才有话语权，击败他们！,通过第4章【力服群雄】,-1,200,10405,1,135
36,围困少林·陆,1,35,35,-1,-1,-1,击败他们，找出内奸！,通过第4章【抓出内奸】,-1,200,10406,1,136
37,围困少林·柒,1,36,36,-1,-1,-1,竟然有埋伏！打败他们，突围出去！,通过第4章【书院陷阱】,-1,200,10407,1,137
38,围困少林·捌,1,38,37,-1,-1,-1,邪教想杀人灭口，救出院长！,通过第4章【相互勾结】,-1,200,10408,1,138
39,围困少林·玖,1,39,38,-1,-1,-1,守住禅院，别让邪教进来,通过第4章【禅院休养】,-1,200,10409,1,139
40,围困少林·终,1,40,39,-1,-1,-1,黑衣女子看起来高深莫测，不过作为主角你不能退缩！,通过第4章【世外高人】,-1,200,10410,1,140
41,杭州烟雨·壹,1,41,40,-1,-1,-1,初入梅庄，击败家丁,通过第5章【拜访四友】,-1,200,10501,1,141
42,杭州烟雨·贰,1,42,41,-1,-1,-1,解决敌人，进入梅庄,通过第5章【轻松过关】,-1,200,10502,1,142
43,杭州烟雨·叁,1,43,42,-1,-1,-1,让管家也尝尝你的厉害！,通过第5章【渐有难度】,-1,200,10503,1,143
44,杭州烟雨·肆,1,44,43,-1,-1,-1,击败丹青生，获得他的认可。,通过第5章【一见如故】,-1,200,10504,1,144
45,杭州烟雨·伍,1,45,44,-1,-1,-1,解决困难，向琴台出发,通过第5章【前往琴台】,-1,200,10505,1,145
46,杭州烟雨·陆,1,46,45,-1,-1,-1,击败黄忠诚，获得他的认可。,通过第5章【黄忠诚服】,-1,200,10506,1,146
47,杭州烟雨·柒,1,47,46,-1,-1,-1,解决困难，向书房出发,通过第5章【妙笔生花】,-1,200,10507,1,147
48,杭州烟雨·捌,1,48,47,-1,-1,-1,击败秃笔翁，获得他的认可。,通过第5章【怪癖老翁】,-1,200,10508,1,148
49,杭州烟雨·玖,1,49,48,-1,-1,-1,击败黑白子，获得他的认可。,通过第5章【珍珑棋局】,-1,200,10509,1,149
50,杭州烟雨·终,1,50,49,-1,-1,-1,击败敌人！,通过第5章【事态急转】,-1,200,10510,1,150
51,桃花迷踪·壹,1,51,50,-1,-1,-1,初到桃花岛，就遇到了敌人，击败他们。,通过第6章【码头挑战】,-1,200,10601,1,151
52,桃花迷踪·贰,1,52,51,-1,-1,-1,破解迷阵继续前进吧。,通过第6章【八卦迷阵】,-1,200,10602,1,152
53,桃花迷踪·叁,1,53,52,-1,-1,-1,王语嫣不愧是才女，一眼就看穿了阵法，消灭敌人开启机关吧,通过第6章【先破杜门】,-1,200,10603,1,153
54,桃花迷踪·肆,1,54,53,-1,-1,-1,找到景门，开启机关,通过第6章【再入景门】,-1,200,10604,1,154
55,桃花迷踪·伍,1,55,54,-1,-1,-1,找到生门，开启机关,通过第6章【生门小憩】,-1,200,10605,1,155
56,桃花迷踪·陆,1,56,55,-1,-1,-1,找到伤门，开启机关,通过第6章【惊险伤门】,-1,200,10606,1,156
57,桃花迷踪·柒,1,57,56,-1,-1,-1,找到休门，开启机关,通过第6章【迷瘴休门】,-1,200,10607,1,157
58,桃花迷踪·捌,1,58,57,-1,-1,-1,找到开门，开启机关,通过第6章【开门出阵】,-1,200,10608,1,158
59,桃花迷踪·玖,1,58,58,-1,-1,-1,少女果然就是东邪的女儿黄蓉，击败她得到东邪的认可吧！,通过第6章【桃花岛主】,-1,200,10609,1,159
60,桃花迷踪·终,1,58,59,-1,-1,-1,东邪的实力诡异莫测，但是现在也只能硬着头皮上了。,通过第6章【东邪出山】,-1,200,10610,1,160
61,武林盛会·壹,1,59,60,-1,-1,-1,击败他们成为武林盟主吧！,通过第7章【勇闯大会】,-1,200,10701,1,161
62,武林盛会·贰,1,60,61,-1,-1,-1,击败他们成为武林盟主吧！,通过第7章【小露一手】,-1,200,10702,1,162
63,武林盛会·叁,1,61,62,-1,-1,-1,击败他们成为武林盟主吧！,通过第7章【稍有难度】,-1,200,10703,1,163
64,武林盛会·肆,1,61,63,-1,-1,-1,击败他们成为武林盟主吧！,通过第7章【越战越勇】,-1,200,10704,1,164
65,武林盛会·伍,1,61,64,-1,-1,-1,击败他们成为武林盟主吧！,通过第7章【进军决战】,-1,200,10705,1,165
66,武林盛会·陆,1,61,65,-1,-1,-1,击败他们成为武林盟主吧！,通过第7章【过关斩将】,-1,200,10706,1,166
67,武林盛会·柒,1,62,66,-1,-1,-1,击败他们成为武林盟主吧！,通过第7章【对战泰斗】,-1,200,10707,1,167
68,武林盛会·捌,1,62,67,-1,-1,-1,敢在你面前泡你妹妹，果断教他做人吧！,通过第7章【会上遇袭】,-1,200,10708,1,168
69,武林盛会·玖,1,63,68,-1,-1,-1,黑衣人又来捣乱了，击败他们,通过第7章【乘胜追击】,-1,200,10709,1,169
70,武林盛会·终,1,64,69,-1,-1,-1,果然又是这帮邪教徒，揍！,通过第7章【打破九幽】,-1,200,10710,1,170
71,海上擒魔·壹,1,64,70,-1,-1,-1,还有余孽！打败他们揪出幕后凶手,通过第8章【联盟正道】,-1,200,10801,1,171
72,海上擒魔·贰,1,65,71,-1,-1,-1,九幽哪里跑！,通过第8章【码头堵截】,-1,200,10802,1,172
73,海上擒魔·叁,1,65,72,-1,-1,-1,扬帆！起航！追上他们！,通过第8章【扬帆出海】,-1,200,10803,1,173
74,海上擒魔·肆,1,66,73,-1,-1,-1,用计谋击破敌人！,通过第8章【迂回包抄】,-1,200,10804,1,174
75,海上擒魔·伍,1,66,74,-1,-1,-1,计中计，截中截！,通过第8章【将计就计】,-1,200,10805,1,175
76,海上擒魔·陆,1,67,75,-1,-1,-1,瓮中捉鳖！不要放走一个人！,通过第8章【一网打尽】,-1,200,10806,1,176
77,海上擒魔·柒,1,67,76,-1,-1,-1,冲出阻碍！杀上船去！,通过第8章【冲破阻碍】,-1,200,10807,1,177
78,海上擒魔·捌,1,68,77,-1,-1,-1,终于遇到强敌了，不过你可不会输！,通过第8章【对阵堂主】,-1,200,10808,1,178
79,海上擒魔·玖,1,69,78,-1,-1,-1,长老及时赶到，先稳住局势才是！,通过第8章【战斗扫尾】,-1,200,10809,1,179
80,海上擒魔·终,1,70,79,-1,-1,-1,只剩下最后的邪教徒在垂死挣扎了，击败他们！,通过第8章【大获全胜】,-1,200,10810,1,180
81,星宿夺宝·壹,1,71,80,-1,-1,-1,意料之中的战斗，击败他们！,通过第9章【得知消息】,-1,200,10901,1,181
82,星宿夺宝·贰,1,71,81,-1,-1,-1,收集情报，从敌人的嘴里撬出真相,通过第9章【前往打探】,-1,200,10902,1,182
83,星宿夺宝·叁,1,72,82,-1,-1,-1,又是黑衣人？动手吧！,通过第9章【误打误撞】,-1,200,10903,1,183
84,星宿夺宝·肆,1,72,83,-1,-1,-1,正道联盟！无坚不摧,通过第9章【营救长老】,-1,200,10904,1,184
85,星宿夺宝·伍,1,73,84,-1,-1,-1,伺机而动，随影而行！,通过第9章【乔装打扮】,-1,200,10905,1,185
86,星宿夺宝·陆,1,73,85,-1,-1,-1,掌握大局，谋而后动！,通过第9章【盗出地图】,-1,200,10906,1,186
87,星宿夺宝·柒,1,74,86,-1,-1,-1,阳谋已成，大局一定,通过第9章【团团围住】,-1,200,10907,1,187
88,星宿夺宝·捌,1,74,87,-1,-1,-1,乘胜追击，一栏乾坤,通过第9章【大举进攻】,-1,200,10908,1,188
89,星宿夺宝·玖,1,75,88,-1,-1,-1,安定局势，稍缓攻势,通过第9章【逐个击破】,-1,200,10909,1,189
90,星宿夺宝·终,1,75,89,-1,-1,-1,最后一击！问鼎豪杰,通过第9章【意外得宝】,-1,200,10910,1,190
91,昆仑迷雾·壹,1,75,90,-1,-1,-1,分风雪交加，务必找到前进的方向！,通过第10章【风雪交加】,-1,200,11001,1,191
92,昆仑迷雾·贰,1,75,91,-1,-1,-1,迷阵初现，这就是昆仑迷阵？,通过第10章【误闯打阵】,-1,200,11002,1,192
93,昆仑迷雾·叁,1,76,92,-1,-1,-1,破了迷阵，路还有多远？,通过第11章【破阵而出】,-1,200,11003,1,193
94,昆仑迷雾·肆,1,76,93,-1,-1,-1,正道联盟！无坚不摧,通过第12章【大打出手】,-1,200,11004,1,194
95,昆仑迷雾·伍,1,76,94,-1,-1,-1,管他什么阴谋，用铁拳制裁他们吧！,通过第13章【硬闯山门】,-1,200,11005,1,195
96,昆仑迷雾·陆,1,77,95,-1,-1,-1,教训还不够深，给他们个痛快吧,通过第14章【一路前行】,-1,200,11006,1,196
97,昆仑迷雾·柒,1,77,96,-1,-1,-1,昆仑掌门功夫了得，让你和他会会！,通过第15章【当面对质】,-1,200,11007,1,197
98,昆仑迷雾·捌,1,78,97,-1,-1,-1,突如其来的偷袭，离真相只有一步！,通过第16章【暗箭伤人】,-1,200,11008,1,198
99,昆仑迷雾·玖,1,79,98,-1,-1,-1,九幽恨我有多深，我剑心从血中来！,通过第17章【真相大白】,-1,200,11009,1,199
100,昆仑迷雾·终,1,80,99,-1,-1,-1,给愚蠢的敌人最后一击吧！,通过第18章【昆仑结盟】,-1,200,11010,1,200
2001,侠客归来,2,12,11,-1,-1,-1,江湖中不论是与人单挑还是被人挑战，都需要有帮手才好！,拥有2个4星侠客,-1,351,4,2,2001
2002,绝学心法·壹,2,15,14,-1,-1,-1,想要纵横江湖无敌天下，努力练好自己的技能吧！,升级侠客主动技能至10级,-1,266,0,10,2005
2003,绝学心法·贰,2,25,2002,-1,-1,-1,想要纵横江湖无敌天下，努力练好自己的技能吧！,升级侠客主动技能至20级,-1,266,0,20,2019
2004,绝学心法·叁,2,35,2003,-1,-1,-1,想要纵横江湖无敌天下，努力练好自己的技能吧！,升级侠客主动技能至30级,-1,266,0,30,2025
2005,绝学心法·肆,2,45,2004,-1,-1,-1,想要纵横江湖无敌天下，努力练好自己的技能吧！,升级侠客主动技能至40级,-1,266,0,40,2035
2006,绝学心法·伍,2,55,2005,-1,-1,-1,想要纵横江湖无敌天下，努力练好自己的技能吧！,升级侠客主动技能至50级,-1,266,0,50,2044
2007,绝学心法·陆,2,65,2006,-1,-1,-1,想要纵横江湖无敌天下，努力练好自己的技能吧！,升级侠客主动技能至60级,-1,266,0,60,2053
2008,绝学心法·柒,2,75,2007,-1,-1,-1,想要纵横江湖无敌天下，努力练好自己的技能吧！,升级侠客主动技能至70级,-1,266,0,70,2061
2009,绝学心法·捌,2,85,2008,-1,-1,-1,想要纵横江湖无敌天下，努力练好自己的技能吧！,升级侠客主动技能至80级,-1,266,0,80,2068
2010,绝学心法·玖,2,95,2009,-1,-1,-1,想要纵横江湖无敌天下，努力练好自己的技能吧！,升级侠客主动技能至90级,-1,266,0,90,2076
2011,绝学心法·终,2,100,2010,-1,-1,-1,想要纵横江湖无敌天下，努力练好自己的技能吧！,升级侠客主动技能至100级,-1,266,0,100,2080
2012,装备强化,2,16,11,-1,-1,-1,前路漫漫，武器不升星，如何面对以后凶恶的敌人？,任意装备强化至30级,-1,231,0,30,2006
2013,神兵利器,2,26,2012,-1,-1,-1,拥有神兵利器是每个江湖人的梦想。,拥有2件4星以上装备,-1,352,4,2,2020
2014,神兵利器·贰,2,36,2013,-1,-1,-1,拥有神兵利器是每个江湖人的梦想。,拥有8件4星以上装备,-1,352,4,8,2028
2015,神兵利器·叁,2,46,2014,-1,-1,-1,拥有神兵利器是每个江湖人的梦想。,拥有8件5星以上装备,-1,352,5,8,2037
2016,神兵利器·肆,2,56,2015,-1,-1,-1,拥有神兵利器是每个江湖人的梦想。,拥有8件6星以上装备,-1,352,6,8,2046
2017,神兵利器·叁,2,66,2016,-1,-1,-1,拥有神兵利器是每个江湖人的梦想。,拥有5件7星以上装备,-1,352,7,5,2054
2018,神兵利器·肆,2,76,2017,-1,-1,-1,拥有神兵利器是每个江湖人的梦想。,拥有5件8星以上装备,-1,352,8,5,2062
2019,神兵利器·叁,2,86,2018,-1,-1,-1,拥有神兵利器是每个江湖人的梦想。,拥有3件9星以上装备,-1,352,9,3,2069
2020,神兵利器·肆,2,96,2019,-1,-1,-1,拥有神兵利器是每个江湖人的梦想。,拥有1件10星以上装备,-1,352,10,1,2077
2021,议事堂升级·壹,2,14,2032,-1,-1,-1,议事堂等级越高，可领取的俸禄越高，你还在犹豫什么，升级，升级，升级，没有别的！,议事堂升级至5级,-1,290,1,5,2003
2022,议事堂升级·贰,2,19,2021,-1,-1,-1,议事堂等级越高，可领取的俸禄越高，你还在犹豫什么，升级，升级，升级，没有别的！,议事堂升级至10级,-1,290,1,10,2011
2023,议事堂升级·叁,2,29,2022,-1,-1,-1,议事堂等级越高，可领取的俸禄越高，你还在犹豫什么，升级，升级，升级，没有别的！,议事堂升级至20级,-1,290,1,20,2021
2024,议事堂升级·肆,2,39,2023,-1,-1,-1,议事堂等级越高，可领取的俸禄越高，你还在犹豫什么，升级，升级，升级，没有别的！,议事堂升级至30级,-1,290,1,30,2029
2025,议事堂升级·伍,2,49,2024,-1,-1,-1,议事堂等级越高，可领取的俸禄越高，你还在犹豫什么，升级，升级，升级，没有别的！,议事堂升级至40级,-1,290,1,40,2038
2026,议事堂升级·陆,2,59,2025,-1,-1,-1,议事堂等级越高，可领取的俸禄越高，你还在犹豫什么，升级，升级，升级，没有别的！,议事堂升级至50级,-1,290,1,50,2047
2027,议事堂升级·柒,2,69,2026,-1,-1,-1,议事堂等级越高，可领取的俸禄越高，你还在犹豫什么，升级，升级，升级，没有别的！,议事堂升级至60级,-1,290,1,60,2055
2028,议事堂升级·捌,2,79,2027,-1,-1,-1,议事堂等级越高，可领取的俸禄越高，你还在犹豫什么，升级，升级，升级，没有别的！,议事堂升级至70级,-1,290,1,70,2063
2029,议事堂升级·玖,2,89,2028,-1,-1,-1,议事堂等级越高，可领取的俸禄越高，你还在犹豫什么，升级，升级，升级，没有别的！,议事堂升级至80级,-1,290,1,80,2070
2030,议事堂升级·拾,2,93,2029,-1,-1,-1,议事堂等级越高，可领取的俸禄越高，你还在犹豫什么，升级，升级，升级，没有别的！,议事堂升级至90级,-1,290,1,90,2072
2031,议事堂升级·终,2,99,2030,-1,-1,-1,议事堂等级越高，可领取的俸禄越高，你还在犹豫什么，升级，升级，升级，没有别的！,议事堂升级至100级,-1,290,1,100,2079
2032,领取俸禄,2,12,11,-1,-1,-1,有钱啊，我可以领钱啊，太好了！,领取3次俸禄,-1,291,0,3,2002
2033,人多势众·壹,2,14,2001,-1,-1,-1,跟人PK时，自己人越多越强越好。,拥有2个30级侠客,-1,262,30,2,2004
